snr,config,seed,n,sync_fail,decode_fail,crc_fail,pass
8,ack_light,"2026052001;2026052002;2026052003",600,600,0,0,0
8,data4_light,"2026052001;2026052002;2026052003",600,600,0,0,0
8,ack_full,"2026052001;2026052002;2026052003",600,0,391,14,195
10,ack_light,"2026052001;2026052002;2026052003",600,600,0,0,0
10,data4_light,"2026052001;2026052002;2026052003",600,600,0,0,0
10,ack_full,"2026052001;2026052002;2026052003",600,0,22,1,577
12,ack_light,"2026052001;2026052002;2026052003",600,600,0,0,0
12,data4_light,"2026052001;2026052002;2026052003",600,600,0,0,0
12,ack_full,"2026052001;2026052002;2026052003",600,0,2,0,598
14,ack_light,"2026052001;2026052002;2026052003",600,168,5,0,427
14,data4_light,"2026052001;2026052002;2026052003",600,167,19,0,414
14,ack_full,"2026052001;2026052002;2026052003",600,0,0,0,600
16,ack_light,"2026052001;2026052002;2026052003",600,0,0,0,600
16,data4_light,"2026052001;2026052002;2026052003",600,0,4,0,596
16,ack_full,"2026052001;2026052002;2026052003",600,0,0,0,600
18,ack_light,"2026052001;2026052002;2026052003",600,0,0,0,600
18,data4_light,"2026052001;2026052002;2026052003",600,0,0,0,600
18,ack_full,"2026052001;2026052002;2026052003",600,0,0,0,600
20,ack_light,"2026052001;2026052002;2026052003",600,0,0,0,600
20,data4_light,"2026052001;2026052002;2026052003",600,0,0,0,600
20,ack_full,"2026052001;2026052002;2026052003",600,0,0,0,600
24,ack_light,"2026052001;2026052002;2026052003",600,0,0,0,600
24,data4_light,"2026052001;2026052002;2026052003",600,0,0,0,600
24,ack_full,"2026052001;2026052002;2026052003",600,0,0,0,600
