snr,config,seed,n,sync_fail,decode_fail,crc_fail,pass
8,ack_light,2026052001,200,200,0,0,0
8,ack_light,2026052002,200,200,0,0,0
8,ack_light,2026052003,200,200,0,0,0
8,data4_light,2026052001,200,200,0,0,0
8,data4_light,2026052002,200,200,0,0,0
8,data4_light,2026052003,200,200,0,0,0
8,ack_full,2026052001,200,0,137,3,60
8,ack_full,2026052002,200,0,127,4,69
8,ack_full,2026052003,200,0,127,7,66
10,ack_light,2026052001,200,200,0,0,0
10,ack_light,2026052002,200,200,0,0,0
10,ack_light,2026052003,200,200,0,0,0
10,data4_light,2026052001,200,200,0,0,0
10,data4_light,2026052002,200,200,0,0,0
10,data4_light,2026052003,200,200,0,0,0
10,ack_full,2026052001,200,0,6,1,193
10,ack_full,2026052002,200,0,8,0,192
10,ack_full,2026052003,200,0,8,0,192
12,ack_light,2026052001,200,200,0,0,0
12,ack_light,2026052002,200,200,0,0,0
12,ack_light,2026052003,200,200,0,0,0
12,data4_light,2026052001,200,200,0,0,0
12,data4_light,2026052002,200,200,0,0,0
12,data4_light,2026052003,200,200,0,0,0
12,ack_full,2026052001,200,0,0,0,200
12,ack_full,2026052002,200,0,2,0,198
12,ack_full,2026052003,200,0,0,0,200
14,ack_light,2026052001,200,58,1,0,141
14,ack_light,2026052002,200,57,4,0,139
14,ack_light,2026052003,200,53,0,0,147
14,data4_light,2026052001,200,59,9,0,132
14,data4_light,2026052002,200,55,5,0,140
14,data4_light,2026052003,200,53,5,0,142
14,ack_full,2026052001,200,0,0,0,200
14,ack_full,2026052002,200,0,0,0,200
14,ack_full,2026052003,200,0,0,0,200
16,ack_light,2026052001,200,0,0,0,200
16,ack_light,2026052002,200,0,0,0,200
16,ack_light,2026052003,200,0,0,0,200
16,data4_light,2026052001,200,0,1,0,199
16,data4_light,2026052002,200,0,3,0,197
16,data4_light,2026052003,200,0,0,0,200
16,ack_full,2026052001,200,0,0,0,200
16,ack_full,2026052002,200,0,0,0,200
16,ack_full,2026052003,200,0,0,0,200
18,ack_light,2026052001,200,0,0,0,200
18,ack_light,2026052002,200,0,0,0,200
18,ack_light,2026052003,200,0,0,0,200
18,data4_light,2026052001,200,0,0,0,200
18,data4_light,2026052002,200,0,0,0,200
18,data4_light,2026052003,200,0,0,0,200
18,ack_full,2026052001,200,0,0,0,200
18,ack_full,2026052002,200,0,0,0,200
18,ack_full,2026052003,200,0,0,0,200
20,ack_light,2026052001,200,0,0,0,200
20,ack_light,2026052002,200,0,0,0,200
20,ack_light,2026052003,200,0,0,0,200
20,data4_light,2026052001,200,0,0,0,200
20,data4_light,2026052002,200,0,0,0,200
20,data4_light,2026052003,200,0,0,0,200
20,ack_full,2026052001,200,0,0,0,200
20,ack_full,2026052002,200,0,0,0,200
20,ack_full,2026052003,200,0,0,0,200
24,ack_light,2026052001,200,0,0,0,200
24,ack_light,2026052002,200,0,0,0,200
24,ack_light,2026052003,200,0,0,0,200
24,data4_light,2026052001,200,0,0,0,200
24,data4_light,2026052002,200,0,0,0,200
24,data4_light,2026052003,200,0,0,0,200
24,ack_full,2026052001,200,0,0,0,200
24,ack_full,2026052002,200,0,0,0,200
24,ack_full,2026052003,200,0,0,0,200
