snr,config,seed,n,sync_fail,decode_fail,crc_fail,pass
10,warm_sync_light,2026052001,200,1,15,0,184
10,warm_sync_light,2026052002,200,1,5,0,194
10,warm_sync_light,2026052003,200,1,7,0,192
10,warm_sync_light,2026052004,200,2,7,0,191
12,warm_sync_light,2026052001,200,0,0,0,200
12,warm_sync_light,2026052002,200,0,1,0,199
12,warm_sync_light,2026052003,200,0,0,0,200
14,warm_sync_light,2026052001,200,0,0,0,200
14,warm_sync_light,2026052002,200,0,0,0,200
14,warm_sync_light,2026052003,200,0,0,0,200
14,warm_sync_light,2026052004,200,0,0,0,200
16,warm_sync_light,2026052001,200,0,0,0,200
16,warm_sync_light,2026052002,200,0,0,0,200
16,warm_sync_light,2026052003,200,0,0,0,200
18,warm_sync_light,2026052001,200,0,0,0,200
18,warm_sync_light,2026052002,200,0,0,0,200
18,warm_sync_light,2026052003,200,0,0,0,200
20,warm_sync_light,2026052001,200,0,0,0,200
20,warm_sync_light,2026052002,200,0,0,0,200
20,warm_sync_light,2026052003,200,0,0,0,200
