cell	seed	RESULT	goodput	retx	cwfail	deint_fail	deint_ok	elapsed
q16r12_g20	42	PASS	1400	16	8	16	74	156
q16r12_g20	43	PASS	1540	16	0	15	74	144
q16r12_g20	44	PASS	1550	18	0	18	74	146
q16r12_g20	7	PASS	1890	4	0	4	74	124
q16r12_g20	2	PASS	1760	10	0	10	74	132
psk8r34_g20	42	PASS	1440	34	0	28	52	153
psk8r34_g20	43	PASS	1390	40	0	40	56	158
psk8r34_g20	44	PASS	840	72	8	73	49	239
psk8r34_g20	7	PASS	1480	24	0	24	49	148
psk8r34_g20	2	PASS	1620	28	0	28	49	140
q16r12_g18	42	PASS	990	64	0	61	74	209
q16r12_g18	43	PASS	1550	18	0	18	74	144
q16r12_g18	44	PASS	1270	34	0	33	74	170
q16r12_g18	7	PASS	1250	38	0	38	74	171
q16r12_g18	2	PASS	1220	31	0	30	74	175
SWEEP_DONE
